num_rooms,size,floor,Price,Location,Date,Today
4 ,200 ,16/17 ,475 000,Nərimanov r.,"Bakı, bugün 14:53",06/15/2022
3 ,130 ,13/16 ,229 000,Nəsimi r.,"Bakı, bugün 14:52",06/15/2022
4 ,200 ,5/20 ,500 000,Yasamal r.,"Bakı, bugün 14:53",06/15/2022
4 ,148 ,7/16 ,135 000,Yeni Yasamal q.,"Bakı, bugün 14:51",06/15/2022
4 ,320 ,18/20 ,1 050 000,İnşaatçılar m.,"Bakı, bugün 14:51",06/15/2022
3 ,124 ,9/16 ,221 000,Nəsimi r.,"Bakı, bugün 14:51",06/15/2022
4 ,141 ,15/17 ,325 000,Nəsimi r.,"Bakı, bugün 14:50",06/15/2022
2 ,66 ,1/1 ,130 000,Nizami m.,"Bakı, bugün 14:50",06/15/2022
3 ,80 ,17/17 ,120 000,Həzi Aslanov m.,"Bakı, bugün 14:49",06/15/2022
2 ,64 ,4/14 ,79 000,Həzi Aslanov m.,"Bakı, bugün 14:49",06/15/2022
1 ,61 ,9/20 ,122 500,İnşaatçılar m.,"Bakı, bugün 14:49",06/15/2022
5 ,265 ,8/8 ,320 000,Nəriman Nərimanov m.,"Bakı, 11 i̇yun 2022",06/15/2022
3 ,164 ,16/17 ,252 000,Nəriman Nərimanov m.,"Bakı, 09 i̇yun 2022",06/15/2022
3 ,135 ,11/18 ,280 000,Nizami m.,"Bakı, 13 i̇yun 2022",06/15/2022
3 ,140 ,11/20 ,335 000,Nəsimi r.,"Bakı, dünən 19:50",06/15/2022
1 ,50.8 ,,63 500,Bakı,"Bakı, dünən 16:11",06/15/2022
2 ,72.1 ,,165 469,Sea Breeze ,"Bakı, bugün 11:42",06/15/2022
3 ,170 ,,323 000,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022
5 ,308 ,,571 340,Bakı,"Bakı, 02 i̇yun 2022",06/15/2022
3 ,134 ,18/19 ,159 000,Nizami r.,"Bakı, bugün 14:48",06/15/2022
2 ,65 ,8/9 ,79 000,Neftçilər m.,"Bakı, bugün 14:51",06/15/2022
3 ,158 ,19/20 ,269 000,Şah İsmayıl Xətai m.,"Bakı, bugün 14:47",06/15/2022
4 ,165 ,4/11 ,135 000,Əhmədli m.,"Bakı, bugün 14:47",06/15/2022
3 ,108 ,14/17 ,180 000,İnşaatçılar m.,"Bakı, bugün 14:50",06/15/2022
2 ,80 ,7/10 ,126 000,Nərimanov r.,"Bakı, bugün 14:47",06/15/2022
4 ,158 ,8/16 ,230 000,Nəsimi r.,"Bakı, bugün 14:46",06/15/2022
4 ,186 ,7/17 ,430 000,Elmlər Akademiyası m.,"Bakı, bugün 14:45",06/15/2022
5 ,130 ,6/9 ,148 000,9-cu mikrorayon q.,"Bakı, bugün 14:44",06/15/2022
4 ,156 ,15/18 ,230 000,8-ci mikrorayon q.,"Bakı, bugün 14:44",06/15/2022
3 ,140 ,16/18 ,220 000,9-cu mikrorayon q.,"Bakı, bugün 14:44",06/15/2022
2 ,60 ,3/20 ,110 000,Nəsimi r.,"Bakı, bugün 14:44",06/15/2022
3 ,100 ,16/20 ,120 000,Yeni Yasamal q.,"Bakı, bugün 14:43",06/15/2022
2 ,42 ,2/2 ,80 000,28 May m.,"Bakı, bugün 14:43",06/15/2022
3 ,165 ,10/12 ,329 000,Nəriman Nərimanov m.,"Bakı, bugün 14:42",06/15/2022
2 ,70 ,8/15 ,118 000,8-ci kilometr q.,"Bakı, bugün 14:42",06/15/2022
3 ,105 ,9/17 ,225 000,Nərimanov r.,"Bakı, bugün 14:42",06/15/2022
2 ,30 ,1/1 ,51 000,Sahil m.,"Bakı, bugün 14:42",06/15/2022
4 ,180 ,4/16 ,383 500,Nəsimi r.,"Bakı, bugün 14:41",06/15/2022
2 ,105 ,16/18 ,230 000,Elmlər Akademiyası m.,"Bakı, bugün 14:41",06/15/2022
