Name,Price,Location,Date,Today,num_rooms,size,floor
2 otaqlı90 m²6/17 mərtəbə,143 000,20 Yanvar m.,"Bakı, bugün 14:58",06/15/2022,2 ,90 ,6/17 
2 otaqlı50 m²4/7 mərtəbə,115 000,Nəsimi r.,"Bakı, bugün 14:58",06/15/2022,2 ,50 ,4/7 
5 otaqlı130 m²8/9 mərtəbə,179 900,Azadlıq Prospekti m.,"Bakı, bugün 14:58",06/15/2022,5 ,130 ,8/9 
3 otaqlı98 m²4/11 mərtəbə,110 000,Əhmədli m.,"Bakı, bugün 14:58",06/15/2022,3 ,98 ,4/11 
3 otaqlı105 m²6/16 mərtəbə,209 900,Nəsimi r.,"Bakı, bugün 14:58",06/15/2022,3 ,105 ,6/16 
3 otaqlı134 m²20/23 mərtəbə,201 000,Nəsimi r.,"Bakı, dünən 14:57",06/15/2022,3 ,134 ,20/23 
4 otaqlı117 m²2/5 mərtəbə,200 000,Badamdar q.,"Bakı, 30 may 2022",06/15/2022,4 ,117 ,2/5 
1 otaqlı51.5 m²7/15 mərtəbə,118 450,Nəriman Nərimanov m.,"Bakı, dünən 16:31",06/15/2022,1 ,51.5 ,7/15 
3 otaqlı144.5 m²27/27 mərtəbə,200 000,Yasamal q.,"Bakı, 26 may 2022",06/15/2022,3 ,144.5 ,27/27 
1 otaqlı68.3 m²,116 110,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022,1 ,68.3 ,
2 otaqlı75.7 m²,173 731,Sea Breeze ,"Bakı, bugün 11:42",06/15/2022,2 ,75.7 ,
1 otaqlı64.1 m²,147 109,Sea Breeze ,"Bakı, bugün 11:47",06/15/2022,1 ,64.1 ,
3 otaqlı241 m²,583 220,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022,3 ,241 ,
3 otaqlı130.2 m²5/8 mərtəbə,195 000,Nəsimi r.,"Bakı, bugün 14:58",06/15/2022,3 ,130.2 ,5/8 
4 otaqlı242 m²3/17 mərtəbə,250 000,Azadlıq Prospekti m.,"Bakı, bugün 14:57",06/15/2022,4 ,242 ,3/17 
3 otaqlı95 m²4/4 mərtəbə,160 000,Nəsimi r.,"Bakı, bugün 14:57",06/15/2022,3 ,95 ,4/4 
2 otaqlı68 m²7/17 mərtəbə,142 000,8-ci mikrorayon q.,"Bakı, bugün 14:57",06/15/2022,2 ,68 ,7/17 
3 otaqlı85 m²5/9 mərtəbə,136 999,Yasamal r.,"Bakı, bugün 14:57",06/15/2022,3 ,85 ,5/9 
2 otaqlı56 m²10/17 mərtəbə,124 999,Nərimanov r.,"Bakı, bugün 14:57",06/15/2022,2 ,56 ,10/17 
4 otaqlı90 m²2/9 mərtəbə,126 000,Xətai r.,"Bakı, bugün 14:56",06/15/2022,4 ,90 ,2/9 
4 otaqlı110 m²9/9 mərtəbə,114 000,9-cu mikrorayon q.,"Bakı, bugün 14:56",06/15/2022,4 ,110 ,9/9 
2 otaqlı58 m²5/5 mərtəbə,104 000,Nəriman Nərimanov m.,"Bakı, bugün 14:56",06/15/2022,2 ,58 ,5/5 
3 otaqlı132 m²10/20 mərtəbə,198 000,20 Yanvar m.,"Bakı, bugün 14:55",06/15/2022,3 ,132 ,10/20 
3 otaqlı87 m²4/7 mərtəbə,66 990,Masazır q.,"Bakı, bugün 14:54",06/15/2022,3 ,87 ,4/7 
2 otaqlı60 m²6/17 mərtəbə,146 500,28 May m.,"Bakı, bugün 14:54",06/15/2022,2 ,60 ,6/17 
2 otaqlı67 m²12/16 mərtəbə,113 000,28 May m.,"Bakı, bugün 15:10",06/15/2022,2 ,67 ,12/16 
4 otaqlı200 m²16/17 mərtəbə,475 000,Nərimanov r.,"Bakı, bugün 14:53",06/15/2022,4 ,200 ,16/17 
3 otaqlı130 m²13/16 mərtəbə,229 000,Nəsimi r.,"Bakı, bugün 14:52",06/15/2022,3 ,130 ,13/16 
4 otaqlı200 m²5/20 mərtəbə,500 000,Yasamal r.,"Bakı, bugün 14:53",06/15/2022,4 ,200 ,5/20 
4 otaqlı148 m²7/16 mərtəbə,135 000,Yeni Yasamal q.,"Bakı, bugün 14:51",06/15/2022,4 ,148 ,7/16 
4 otaqlı320 m²18/20 mərtəbə,1 050 000,İnşaatçılar m.,"Bakı, bugün 14:51",06/15/2022,4 ,320 ,18/20 
3 otaqlı124 m²9/16 mərtəbə,221 000,Nəsimi r.,"Bakı, bugün 14:51",06/15/2022,3 ,124 ,9/16 
4 otaqlı141 m²15/17 mərtəbə,325 000,Nəsimi r.,"Bakı, bugün 14:50",06/15/2022,4 ,141 ,15/17 
2 otaqlı66 m²1/1 mərtəbə,130 000,Nizami m.,"Bakı, bugün 14:50",06/15/2022,2 ,66 ,1/1 
3 otaqlı80 m²17/17 mərtəbə,120 000,Həzi Aslanov m.,"Bakı, bugün 14:49",06/15/2022,3 ,80 ,17/17 
2 otaqlı64 m²4/14 mərtəbə,79 000,Həzi Aslanov m.,"Bakı, bugün 14:49",06/15/2022,2 ,64 ,4/14 
1 otaqlı61 m²9/20 mərtəbə,122 500,İnşaatçılar m.,"Bakı, bugün 14:49",06/15/2022,1 ,61 ,9/20 
5 otaqlı265 m²8/8 mərtəbə,320 000,Nəriman Nərimanov m.,"Bakı, 11 i̇yun 2022",06/15/2022,5 ,265 ,8/8 
3 otaqlı164 m²16/17 mərtəbə,252 000,Nəriman Nərimanov m.,"Bakı, 09 i̇yun 2022",06/15/2022,3 ,164 ,16/17 
3 otaqlı135 m²11/18 mərtəbə,280 000,Nizami m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,135 ,11/18 
3 otaqlı140 m²11/20 mərtəbə,335 000,Nəsimi r.,"Bakı, dünən 19:50",06/15/2022,3 ,140 ,11/20 
1 otaqlı50.8 m²,63 500,Bakı,"Bakı, dünən 16:11",06/15/2022,1 ,50.8 ,
2 otaqlı72.1 m²,165 469,Sea Breeze ,"Bakı, bugün 11:42",06/15/2022,2 ,72.1 ,
3 otaqlı170 m²,323 000,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022,3 ,170 ,
5 otaqlı308 m²,571 340,Bakı,"Bakı, 02 i̇yun 2022",06/15/2022,5 ,308 ,
3 otaqlı134 m²18/19 mərtəbə,159 000,Nizami r.,"Bakı, bugün 14:48",06/15/2022,3 ,134 ,18/19 
2 otaqlı65 m²8/9 mərtəbə,79 000,Neftçilər m.,"Bakı, bugün 14:51",06/15/2022,2 ,65 ,8/9 
3 otaqlı158 m²19/20 mərtəbə,269 000,Şah İsmayıl Xətai m.,"Bakı, bugün 14:47",06/15/2022,3 ,158 ,19/20 
4 otaqlı165 m²4/11 mərtəbə,135 000,Əhmədli m.,"Bakı, bugün 14:47",06/15/2022,4 ,165 ,4/11 
3 otaqlı108 m²14/17 mərtəbə,180 000,İnşaatçılar m.,"Bakı, bugün 14:50",06/15/2022,3 ,108 ,14/17 
2 otaqlı80 m²7/10 mərtəbə,126 000,Nərimanov r.,"Bakı, bugün 14:47",06/15/2022,2 ,80 ,7/10 
4 otaqlı158 m²8/16 mərtəbə,230 000,Nəsimi r.,"Bakı, bugün 14:46",06/15/2022,4 ,158 ,8/16 
4 otaqlı186 m²7/17 mərtəbə,430 000,Elmlər Akademiyası m.,"Bakı, bugün 14:45",06/15/2022,4 ,186 ,7/17 
5 otaqlı130 m²6/9 mərtəbə,148 000,9-cu mikrorayon q.,"Bakı, bugün 14:44",06/15/2022,5 ,130 ,6/9 
4 otaqlı156 m²15/18 mərtəbə,230 000,8-ci mikrorayon q.,"Bakı, bugün 14:44",06/15/2022,4 ,156 ,15/18 
3 otaqlı140 m²16/18 mərtəbə,220 000,9-cu mikrorayon q.,"Bakı, bugün 14:44",06/15/2022,3 ,140 ,16/18 
2 otaqlı60 m²3/20 mərtəbə,110 000,Nəsimi r.,"Bakı, bugün 14:44",06/15/2022,2 ,60 ,3/20 
3 otaqlı100 m²16/20 mərtəbə,120 000,Yeni Yasamal q.,"Bakı, bugün 14:43",06/15/2022,3 ,100 ,16/20 
2 otaqlı42 m²2/2 mərtəbə,80 000,28 May m.,"Bakı, bugün 14:43",06/15/2022,2 ,42 ,2/2 
3 otaqlı165 m²10/12 mərtəbə,329 000,Nəriman Nərimanov m.,"Bakı, bugün 14:42",06/15/2022,3 ,165 ,10/12 
2 otaqlı70 m²8/15 mərtəbə,118 000,8-ci kilometr q.,"Bakı, bugün 14:42",06/15/2022,2 ,70 ,8/15 
3 otaqlı105 m²9/17 mərtəbə,225 000,Nərimanov r.,"Bakı, bugün 14:42",06/15/2022,3 ,105 ,9/17 
2 otaqlı30 m²1/1 mərtəbə,51 000,Sahil m.,"Bakı, bugün 14:42",06/15/2022,2 ,30 ,1/1 
4 otaqlı180 m²4/16 mərtəbə,383 500,Nəsimi r.,"Bakı, bugün 14:41",06/15/2022,4 ,180 ,4/16 
2 otaqlı105 m²16/18 mərtəbə,230 000,Elmlər Akademiyası m.,"Bakı, bugün 14:41",06/15/2022,2 ,105 ,16/18 
3 otaqlı119 m²8/16 mərtəbə,278 000,Nəsimi r.,"Bakı, bugün 14:41",06/15/2022,3 ,119 ,8/16 
3 otaqlı148 m²12/27 mərtəbə,208 000,Yasamal r.,"Bakı, bugün 14:40",06/15/2022,3 ,148 ,12/27 
