location,city,object_type,bill_num,mortgage_num,price_cleaned,rooms_cleaned_num,size_cleaned_num,floor_current_num,floor_max_num,floor_ratio
Sumqayıt,sumqayit,menziller,1,1,88800,3.0,85.0,2.0,5.0,0.4
Sumqayıt,sumqayit,menziller,1,0,64000,2.0,50.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller,1,0,44500,1.0,33.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller,1,0,88000,3.0,67.0,4.0,5.0,0.8
Sumqayıt,sumqayit,menziller,0,0,130000,3.0,124.0,11.0,13.0,0.8461538461538461
Sumqayıt,sumqayit,menziller,0,0,88800,2.0,74.0,7.0,14.0,0.5
Sumqayıt,sumqayit,menziller,1,0,79000,2.0,60.0,8.0,8.0,1.0
Sumqayıt,sumqayit,menziller,1,0,127000,3.0,99.0,16.0,17.0,0.9411764705882353
Sumqayıt,sumqayit,menziller,0,0,75000,2.0,50.0,6.0,10.0,0.6
Sumqayıt,sumqayit,menziller,0,0,60000,1.0,57.0,5.0,8.0,0.625
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,70191,2.0,78.0,,,
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,48429,1.0,53.8,,,
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,96408,3.0,107.1,,,
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,72207,2.0,80.2,,,
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,29000,1.0,40.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,48300,2.0,47.0,9.0,17.0,0.5294117647058824
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,26000,2.0,36.0,2.0,3.0,0.6666666666666666
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,119500,3.0,94.0,10.0,11.0,0.9090909090909091
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,107000,3.0,107.0,11.0,13.0,0.8461538461538461
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,170000,3.0,126.0,4.0,12.0,0.3333333333333333
Sumqayıt,sumqayit,menziller/yeni-tikili,1,0,119500,3.0,94.0,10.0,11.0,0.9090909090909091
Sumqayıt,sumqayit,menziller/yeni-tikili,1,1,148500,3.0,128.0,2.0,16.0,0.125
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,48200,2.0,47.0,9.0,17.0,0.5294117647058824
Sumqayıt,sumqayit,menziller/yeni-tikili,1,1,145000,3.0,138.0,15.0,16.0,0.9375
Sumqayıt,sumqayit,menziller/yeni-tikili,0,0,130000,3.0,124.0,11.0,13.0,0.8461538461538461
